"country","food_category","consumption","co2_emmission"
"Argentina","Pork",10.51,67.7100693928152
"Argentina","Poultry",38.66,46.9993377186255
"Argentina","Beef",55.48,1710.36197531823
"Argentina","Lamb & Goat",1.56,73.4061564140744
"Argentina","Fish",4.36,19.6758075875357
"Argentina","Eggs",11.39,15.6869928885081
"Argentina","Milk - inc. cheese",195.08,276.042138993224
"Argentina","Wheat and Wheat Products",103.11,56.2343069765705
"Argentina","Rice",8.77,46.7532692345717
"Argentina","Soybeans",0,27.649925761347
"Argentina","Nuts inc. Peanut Butter",0.49,5.01468439854395
"Australia","Pork",24.14,101.153143775747
"Australia","Poultry",46.12,25.3327844515513
"Australia","Beef",33.86,1074.59916784142
"Australia","Lamb & Goat",9.87,296.545060975941
"Australia","Fish",17.69,50.791741916811
"Australia","Eggs",8.51,41.698678348192
"Australia","Milk - inc. cheese",234.49,417.246802290234
"Australia","Wheat and Wheat Products",70.46,85.4379786928183
"Australia","Rice",11.03,89.3510257031658
"Australia","Soybeans",0.19,6.39036185021887
"Australia","Nuts inc. Peanut Butter",8.73,24.9177849949812
"Albania","Pork",10.88,19.9670341686613
"Albania","Poultry",13.23,39.5455164148732
"Albania","Beef",22.5,756.850945726096
"Albania","Lamb & Goat",15.32,568.292906349757
"Albania","Fish",3.85,66.8810856719656
"Albania","Eggs",12.45,95.0245248672918
"Albania","Milk - inc. cheese",303.72,294.250503178248
"Albania","Wheat and Wheat Products",138.64,94.1256598444724
"Albania","Rice",7.78,9.60115446819001
"Albania","Soybeans",0,16.0564950156257
"Albania","Nuts inc. Peanut Butter",4.36,11.644997167334
"Iceland","Pork",21.69,77.4886505857419
"Iceland","Poultry",26.87,27.6347747822724
"Iceland","Beef",13.36,438.138685061841
"Iceland","Lamb & Goat",21.12,735.432334071798
"Iceland","Fish",74.41,59.3768666616062
"Iceland","Eggs",8.24,18.0729123477572
"Iceland","Milk - inc. cheese",225.82,323.522709488533
"Iceland","Wheat and Wheat Products",72.92,35.2100668712828
"Iceland","Rice",3.89,10.7982084996976
"Iceland","Soybeans",0.11,2.96023822031453
"Iceland","Nuts inc. Peanut Butter",3.88,21.4970706755101
"New Zealand","Pork",22.29,132.643763487071
"New Zealand","Poultry",34.98,42.6745758322415
"New Zealand","Beef",22.49,606.298730434231
"New Zealand","Lamb & Goat",18.91,717.011270897755
"New Zealand","Fish",20.36,70.4272720488879
"New Zealand","Eggs",9.91,23.5289820783738
"New Zealand","Milk - inc. cheese",137.25,99.3863959519767
"New Zealand","Wheat and Wheat Products",76.91,68.0496383597214
"New Zealand","Rice",9.16,23.2218747676144
"New Zealand","Soybeans",0.44,33.6462224694908
"New Zealand","Nuts inc. Peanut Butter",8.22,118.61952489356
"USA","Pork",27.64,170.260883178719
"USA","Poultry",50.01,104.903078571298
"USA","Beef",36.24,1127.09490944454
"USA","Lamb & Goat",0.43,6.16246423333697
"USA","Fish",12.35,99.7331872445861
"USA","Eggs",14.58,5.02475745498745
"USA","Milk - inc. cheese",254.69,412.801701716317
"USA","Wheat and Wheat Products",80.43,6.23165796835643
"USA","Rice",6.88,9.39569239595429
"USA","Soybeans",0.04,22.028862477293
"USA","Nuts inc. Peanut Butter",7.86,104.644808671852
"Uruguay","Pork",16.84,24.2483012003339
